,Voto,Deputado,Partido,Estado
0,Arthur Lira,Chiquinho Brazão ,Avante,RJ
1,Arthur Lira,Greyce Elias ,Avante,MG
2,Arthur Lira,Leda Sadala ,Avante,AP
3,Arthur Lira,Luis Tibé ,Avante,MG
4,Arthur Lira,Sebastião Oliveira ,Avante,PE
5,Arthur Lira,Tito ,Avante,BA
6,Arthur Lira,Alan Rick ,DEM,AC
7,Arthur Lira,Arthur Oliveira Maia ,DEM,BA
8,Arthur Lira,Carlos Henrique  ,DEM,TO
9,Arthur Lira,David Soares ,DEM,SP
10,Arthur Lira,Dr. Zacharias Calil ,DEM,GO
11,Arthur Lira,Elmar Nascimento ,DEM,BA
12,Arthur Lira,Leur Lomanto Júnior ,DEM,BA
13,Arthur Lira,Luis Miranda ,DEM,DF
14,Arthur Lira,Norma Ayub ,DEM,ES
15,Arthur Lira,Onyx Lorenzoni ,DEM,RS
16,Arthur Lira,Pedro Lupion ,DEM,PR
17,Arthur Lira,Tereza Cristina ,DEM,MS
18,Arthur Lira,Daniela do Waguinho ,MDB,RJ
19,Arthur Lira,Osmar Terra ,MDB,RS
20,Arthur Lira,Alcides Rodrigues ,Patriota,GO
21,Arthur Lira,Dr. Frederico ,Patriota,MG
22,Arthur Lira,Fred Costa ,Patriota,MG
23,Arthur Lira,Marreca Filho ,Patriota,MA
24,Arthur Lira,Pastor Eurico ,Patriota,PE
25,Arthur Lira,Roman ,Patriota,PR
26,Arthur Lira,Gil Cutrim ,PDT,MA
27,Arthur Lira,Abílio Santana ,PL,BA
28,Arthur Lira,Aelton Freitas ,PL,MG
29,Arthur Lira,Altineu Côrtes ,PL,RJ
30,Arthur Lira,Bosco Costa ,PL,SE
31,Arthur Lira,Capitão Augusto ,PL,SP
32,Arthur Lira,Capitão Fábio Abreu ,PL,PI
33,Arthur Lira,Cristiano Vale ,PL,PA
34,Arthur Lira,Dr. Jaziel ,PL,CE
35,Arthur Lira,Edio Lopes ,PL,RR
36,Arthur Lira,Fernando Rodolfo ,PL,PE
37,Arthur Lira,Flávia Arruda ,PL,DF
38,Arthur Lira,Gelson Azevedo ,PL,RJ
39,Arthur Lira,Giacobo ,PL,PR
40,Arthur Lira,Giovani Cherini ,PL,RS
41,Arthur Lira,João Carlos Bacelar ,PL,BA
42,Arthur Lira,João Maia ,PL,RN
43,Arthur Lira,Jorge Goetten ,PL,SC
44,Arthur Lira,José Rocha ,PL,BA
45,Arthur Lira,Júnior Mano ,PL,CE
46,Arthur Lira,Lincoln Portela ,PL,MG
47,Arthur Lira,Luiz Carlos Motta ,PL,SP
48,Arthur Lira,Luiz Nishimori ,PL,PR
49,Arthur Lira,Magda Mofatto ,PL,GO
50,Arthur Lira,Marcelo Ramos ,PL,AM
51,Arthur Lira,Marcio Alvino ,PL,SP
52,Arthur Lira,Miguel Lombardi ,PL,SP
53,Arthur Lira,Pastor Gil ,PL,MA
54,Arthur Lira,Policial Katia Sastre ,PL,SP
55,Arthur Lira,Raimundo Costa ,PL,BA
56,Arthur Lira,Sergio Toledo ,PL,AL
57,Arthur Lira,Soraya Santos ,PL,RJ
58,Arthur Lira,Valdevan Noventa ,PL,SE
59,Arthur Lira,Vicentinho Júnior ,PL,TO
60,Arthur Lira,Vinicius Gurgel ,PL,AP
61,Arthur Lira,Wellington Roberto ,PL,PB
62,Arthur Lira,Zé Vitor ,PL,MG
63,Arthur Lira,Bacelar ,PODE,BA
64,Arthur Lira,Diego Garcia ,PODE,PR
65,Arthur Lira,José Medeiros ,PODE,MT
