,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
1,Conjunto Comercial/Sala,Barra da Tijuca,0,4,0,150,5200.0,4020.0,1111.0,34.67,Comercial
2,Conjunto Comercial/Sala,Centro,0,3,0,695,35000.0,19193.0,3030.0,50.36,Comercial
3,Prédio Inteiro,Botafogo,0,0,0,536,28000.0,0.0,3563.0,52.24,Comercial
4,Conjunto Comercial/Sala,São Cristóvão,0,1,0,25,1100.0,600.0,0.0,44.0,Comercial
5,Loja/Salão,Campo Grande,0,1,0,35,1300.0,950.0,0.0,37.14,Comercial
6,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,22,700.0,0.0,0.0,31.82,Comercial
7,Conjunto Comercial/Sala,Centro,0,5,0,1306,117540.0,19486.0,0.0,90.0,Comercial
8,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,50,1500.0,250.0,0.0,30.0,Comercial
9,Conjunto Comercial/Sala,Centro,0,0,0,460,7500.0,4797.0,2019.0,16.3,Comercial
10,Conjunto Comercial/Sala,Centro,0,0,0,1170,140456.0,23409.0,5852.0,120.05,Comercial
11,Conjunto Comercial/Sala,Centro,0,1,0,70,1900.0,1080.0,251.0,27.14,Comercial
12,Conjunto Comercial/Sala,Jardim Botânico,0,1,0,50,4000.0,1160.0,200.0,80.0,Comercial
13,Loja/Salão,Copacabana,0,0,0,34,2000.0,735.0,0.0,58.82,Comercial
14,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,0,0,84,1500.0,1546.0,0.0,17.86,Comercial
15,Conjunto Comercial/Sala,Méier,0,0,0,32,700.0,380.0,56.0,21.88,Comercial
16,Conjunto Comercial/Sala,Centro,0,0,0,1,2850.0,2050.0,0.0,2850.0,Comercial
17,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,33,700.0,1010.0,56.0,21.21,Comercial
18,Conjunto Comercial/Sala,Jardim Botânico,0,1,0,24,2500.0,682.0,112.0,104.17,Comercial
19,Galpão/Depósito/Armazém,Vargem Grande,0,6,0,2236,40000.0,0.0,0.0,17.89,Comercial
20,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,32,850.0,719.0,0.0,26.56,Comercial
21,Casa Comercial,Botafogo,0,0,0,140,7000.0,0.0,137.0,50.0,Comercial
22,Galpão/Depósito/Armazém,Maria da Graça,0,3,0,1000,9800.0,0.0,820.0,9.8,Comercial
23,Conjunto Comercial/Sala,Centro,0,1,0,390,25397.0,12090.0,1318.0,65.12,Comercial
24,Conjunto Comercial/Sala,Centro,0,0,0,320,12000.0,3740.0,1541.0,37.5,Comercial
25,Loja/Salão,Barra da Tijuca,0,0,0,36,5300.0,2114.0,839.0,147.22,Comercial
26,Conjunto Comercial/Sala,Centro,0,0,0,95,3800.0,1688.0,392.0,40.0,Comercial
27,Conjunto Comercial/Sala,Centro,0,0,0,310,17050.0,5950.0,1917.0,55.0,Comercial
28,Conjunto Comercial/Sala,Barra da Tijuca,0,4,0,145,9000.0,6400.0,0.0,62.07,Comercial
29,Conjunto Comercial/Sala,Barra da Tijuca,0,2,0,142,4000.0,5024.0,12415.0,28.17,Comercial
30,Conjunto Comercial/Sala,Botafogo,0,3,0,241,22000.0,9384.0,0.0,91.29,Comercial
31,Galpão/Depósito/Armazém,Bonsucesso,0,10,0,13010,100000.0,0.0,12000.0,7.69,Comercial
32,Conjunto Comercial/Sala,Centro,0,0,0,40,1500.0,637.0,84.0,37.5,Comercial
33,Conjunto Comercial/Sala,Centro,0,0,0,48,1400.0,729.0,157.0,29.17,Comercial
34,Conjunto Comercial/Sala,Santo Cristo,0,64,0,4800,312000.0,92000.0,0.0,65.0,Comercial
35,Conjunto Comercial/Sala,Largo do Machado,0,0,0,30,800.0,592.0,162.0,26.67,Comercial
36,Conjunto Comercial/Sala,Centro,0,0,0,55,900.0,1240.0,240.0,16.36,Comercial
37,Conjunto Comercial/Sala,Centro,0,0,0,212,13000.0,4700.0,1350.0,61.32,Comercial
38,Conjunto Comercial/Sala,Freguesia (Jacarepaguá),0,0,0,22,490.0,450.0,525.0,22.27,Comercial
39,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,20,445.0,791.0,1041.0,22.25,Comercial
40,Galpão/Depósito/Armazém,Quintino Bocaiúva,0,0,0,550,4300.0,0.0,0.0,7.82,Comercial
41,Conjunto Comercial/Sala,Campo Grande,0,0,0,20,800.0,0.0,0.0,40.0,Comercial
42,Conjunto Comercial/Sala,São Francisco Xavier,0,1,0,27,1500.0,580.0,0.0,55.56,Comercial
43,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,32,1300.0,935.0,217.0,40.62,Comercial
44,Conjunto Comercial/Sala,Barra da Tijuca,0,0,0,28,800.0,550.0,0.0,28.57,Comercial
45,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,45,1600.0,1100.0,350.0,35.56,Comercial
46,Conjunto Comercial/Sala,Centro,0,0,0,154,3900.0,5100.0,559.0,25.32,Comercial
47,Conjunto Comercial/Sala,Barra da Tijuca,0,0,0,21,1200.0,588.0,0.0,57.14,Comercial
48,Conjunto Comercial/Sala,Freguesia (Jacarepaguá),0,0,0,22,500.0,600.0,85.0,22.73,Comercial
49,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,48,2000.0,1064.0,0.0,41.67,Comercial
50,Loja/Salão,Barra da Tijuca,0,1,0,120,4000.0,1400.0,1500.0,33.33,Comercial
51,Conjunto Comercial/Sala,Centro,0,0,0,35,1000.0,322.0,33.0,28.57,Comercial
52,Conjunto Comercial/Sala,Tijuca,0,1,0,20,1000.0,690.0,58.0,50.0,Comercial
53,Loja/Salão,Barra da Tijuca,0,1,0,50,4500.0,1172.0,1327.0,90.0,Comercial
54,Conjunto Comercial/Sala,Centro,0,0,0,120,3000.0,1380.0,509.0,25.0,Comercial
55,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,8,0,380,18000.0,5276.0,1851.0,47.37,Comercial
56,Conjunto Comercial/Sala,Centro,0,0,0,270,7000.0,2800.0,1249.0,25.93,Comercial
57,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,24,700.0,628.0,1120.0,29.17,Comercial
58,Conjunto Comercial/Sala,Tijuca,0,0,0,21,1000.0,520.0,116.0,47.62,Comercial
59,Casa Comercial,Botafogo,0,0,0,220,16000.0,0.0,0.0,72.73,Comercial
60,Box/Garagem,Tijuca,0,0,0,0,380.0,0.0,0.0,inf,Comercial
61,Loja/Salão,Maracanã,0,0,0,85,6500.0,0.0,385.0,76.47,Comercial
62,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,58,2100.0,495.0,140.0,36.21,Comercial
63,Conjunto Comercial/Sala,Copacabana,0,2,0,210,25200.0,6300.0,1890.0,120.0,Comercial
64,Conjunto Comercial/Sala,Tijuca,0,1,0,32,900.0,450.0,0.0,28.12,Comercial
65,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,24,650.0,530.0,170.0,27.08,Comercial
66,Conjunto Comercial/Sala,Botafogo,0,8,0,463,92600.0,11843.0,14355.0,200.0,Comercial
67,Conjunto Comercial/Sala,Centro,0,0,0,190,4500.0,886.0,0.0,23.68,Comercial
68,Conjunto Comercial/Sala,Centro,0,0,0,185,3000.0,10046.0,462.0,16.22,Comercial
69,Conjunto Comercial/Sala,Centro,0,4,0,230,7000.0,3130.0,1202.0,30.43,Comercial
70,Conjunto Comercial/Sala,Centro,0,0,0,55,1760.0,1420.0,0.0,32.0,Comercial
71,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,80,2800.0,560.0,0.0,35.0,Comercial
72,Loja/Salão,Copacabana,0,0,0,13,1500.0,520.0,95.0,115.38,Comercial
73,Loja/Salão,Barra da Tijuca,0,1,0,95,15000.0,1800.0,1000.0,157.89,Comercial
74,Conjunto Comercial/Sala,Centro,0,0,0,150,4000.0,2000.0,700.0,26.67,Comercial
75,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,25,1000.0,450.0,0.0,40.0,Comercial
76,Loja/Salão,Barra da Tijuca,0,1,0,50,1100.0,1338.0,0.0,22.0,Comercial
77,Loja/Salão,Barra da Tijuca,0,8,0,500,38000.0,0.0,4971.0,76.0,Comercial
78,Conjunto Comercial/Sala,Centro,0,0,0,100,2800.0,1500.0,490.0,28.0,Comercial
79,Conjunto Comercial/Sala,Cidade Nova,0,20,0,2160,129600.0,60480.0,0.0,60.0,Comercial
80,Conjunto Comercial/Sala,Centro,0,10,0,1136,136370.0,22728.0,5682.0,120.04,Comercial
81,Casa Comercial,Glória,0,0,0,139,16740.0,1953.0,139.0,120.43,Comercial
82,Loja/Salão,Recreio dos Bandeirantes,0,2,0,140,3990.0,1410.0,968.0,28.5,Comercial
83,Prédio Inteiro,Campo Grande,0,0,0,650,35000.0,0.0,0.0,53.85,Comercial
84,Conjunto Comercial/Sala,Centro,0,0,0,120,3000.0,1380.0,507.0,25.0,Comercial
85,Loja/Salão,Del Castilho,0,0,0,85,6500.0,0.0,398.0,76.47,Comercial
86,Galpão/Depósito/Armazém,Santo Cristo,0,0,0,1096,12000.0,0.0,1771.0,10.95,Comercial
87,Conjunto Comercial/Sala,Centro,0,0,0,145,3800.0,1400.0,413.0,26.21,Comercial
88,Conjunto Comercial/Sala,Flamengo,0,0,0,32,1300.0,400.0,0.0,40.62,Comercial
89,Galpão/Depósito/Armazém,Bonsucesso,0,3,0,404,15000.0,0.0,370.0,37.13,Comercial
90,Conjunto Comercial/Sala,Centro,0,0,0,87,3000.0,764.0,134.0,34.48,Comercial
91,Conjunto Comercial/Sala,Barra da Tijuca,0,9,0,190,10000.0,5503.0,1250.0,52.63,Comercial
92,Conjunto Comercial/Sala,Leblon,0,0,0,6,900.0,0.0,0.0,150.0,Comercial
93,Conjunto Comercial/Sala,Centro,0,0,0,375,18750.0,6340.0,2349.0,50.0,Comercial
94,Conjunto Comercial/Sala,Centro,0,0,0,34,1000.0,729.0,0.0,29.41,Comercial
95,Conjunto Comercial/Sala,Centro,0,0,0,48,4500.0,885.0,380.0,93.75,Comercial
