,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
1,Quitinete,Copacabana,1,0,0,40,1700.0,500.0,60.0,42.5,Residencial
2,Casa,Jardim Botânico,2,0,1,100,7000.0,0.0,0.0,70.0,Residencial
3,Apartamento,Centro,1,0,0,15,800.0,390.0,20.0,53.33,Residencial
4,Apartamento,Higienópolis,1,0,0,48,800.0,230.0,0.0,16.67,Residencial
5,Apartamento,Vista Alegre,3,1,0,70,1200.0,0.0,0.0,17.14,Residencial
6,Apartamento,Cachambi,2,0,0,50,1300.0,301.0,17.0,26.0,Residencial
7,Casa de Condomínio,Barra da Tijuca,5,4,5,750,22000.0,0.0,0.0,29.33,Residencial
8,Casa de Condomínio,Ramos,2,2,0,65,1000.0,0.0,0.0,15.38,Residencial
9,Apartamento,Centro,1,0,0,36,1200.0,0.0,0.0,33.33,Residencial
10,Apartamento,Grajaú,2,1,0,70,1500.0,642.0,74.0,21.43,Residencial
11,Apartamento,Lins de Vasconcelos,3,1,1,90,1500.0,455.0,14.0,16.67,Residencial
12,Apartamento,Copacabana,1,0,1,40,2000.0,561.0,50.0,50.0,Residencial
13,Quitinete,Copacabana,1,0,0,27,1800.0,501.0,0.0,66.67,Residencial
14,Apartamento,Copacabana,4,3,1,243,13000.0,2000.0,803.0,53.5,Residencial
15,Flat,Botafogo,3,1,1,80,3800.0,1040.0,0.0,47.5,Residencial
16,Casa de Condomínio,Taquara,3,1,1,115,2000.0,0.0,0.0,17.39,Residencial
17,Apartamento,Freguesia (Jacarepaguá),3,0,0,54,950.0,300.0,28.0,17.59,Residencial
18,Apartamento,Barra da Tijuca,2,1,1,67,1700.0,589.0,147.0,25.37,Residencial
19,Apartamento,Tijuca,2,1,0,110,1900.0,700.0,138.0,17.27,Residencial
20,Casa de Condomínio,Barra da Tijuca,4,3,2,466,7500.0,2695.0,0.0,16.09,Residencial
21,Apartamento,Olaria,3,1,0,68,1000.0,670.0,0.0,14.71,Residencial
22,Apartamento,Tijuca,2,1,0,78,2000.0,700.0,0.0,25.64,Residencial
23,Flat,Leblon,1,0,0,56,4500.0,1900.0,1500.0,80.36,Residencial
24,Apartamento,Ipanema,3,1,1,125,7000.0,2100.0,463.0,56.0,Residencial
25,Apartamento,Tijuca,1,0,0,48,750.0,772.0,25.0,15.62,Residencial
26,Apartamento,Barra da Tijuca,3,3,1,175,4200.0,1500.0,500.0,24.0,Residencial
27,Casa,Campo Grande,4,1,2,400,12000.0,0.0,0.0,30.0,Residencial
28,Apartamento,Botafogo,2,1,0,76,2500.0,740.0,0.0,32.89,Residencial
29,Apartamento,Copacabana,3,1,2,378,10000.0,2150.0,700.0,26.46,Residencial
30,Apartamento,Copacabana,3,0,0,180,5500.0,1780.0,420.0,30.56,Residencial
31,Apartamento,Recreio dos Bandeirantes,3,1,1,105,2300.0,648.0,0.0,21.9,Residencial
32,Apartamento,Leblon,3,1,0,110,3900.0,1500.0,120.0,35.45,Residencial
33,Quitinete,Copacabana,1,0,0,27,1300.0,380.0,53.0,48.15,Residencial
34,Apartamento,Jardim Oceânico,3,3,1,200,3500.0,1780.0,496.0,17.5,Residencial
35,Apartamento,Barra da Tijuca,3,1,2,70,1800.0,1095.0,140.0,25.71,Residencial
36,Apartamento,Copacabana,4,1,0,244,5000.0,2500.0,4100.0,20.49,Residencial
37,Apartamento,Barra da Tijuca,3,2,1,110,4500.0,2000.0,450.0,40.91,Residencial
38,Apartamento,Recreio dos Bandeirantes,2,2,2,90,3000.0,1340.0,0.0,33.33,Residencial
39,Apartamento,Recreio dos Bandeirantes,3,2,2,100,2600.0,380.0,0.0,26.0,Residencial
40,Apartamento,Barra da Tijuca,3,1,1,72,2350.0,600.0,70.0,32.64,Residencial
41,Apartamento,Humaitá,2,2,1,180,4000.0,2500.0,300.0,22.22,Residencial
42,Apartamento,Recreio dos Bandeirantes,3,1,2,92,2300.0,840.0,200.0,25.0,Residencial
43,Apartamento,Centro,1,0,0,27,750.0,371.0,19.0,27.78,Residencial
44,Apartamento,Ipanema,1,0,0,35,2000.0,650.0,75.0,57.14,Residencial
45,Apartamento,Ipanema,1,0,0,38,1400.0,530.0,77.0,36.84,Residencial
46,Apartamento,Recreio dos Bandeirantes,2,1,2,83,1600.0,1160.0,157.0,19.28,Residencial
47,Casa de Condomínio,Barra da Tijuca,5,10,5,1600,25000.0,1600.0,0.0,15.62,Residencial
48,Apartamento,Barra da Tijuca,4,3,3,153,6500.0,2300.0,434.0,42.48,Residencial
49,Apartamento,Península,4,3,4,267,18000.0,3100.0,400.0,67.42,Residencial
50,Apartamento,Ipanema,3,1,0,87,3200.0,1305.0,217.0,36.78,Residencial
51,Apartamento,Méier,3,1,0,90,1550.0,844.0,80.0,17.22,Residencial
52,Apartamento,Vargem Pequena,3,1,0,53,1400.0,385.0,28.0,26.42,Residencial
53,Apartamento,Botafogo,3,1,1,108,5950.0,1405.0,289.0,55.09,Residencial
54,Apartamento,Maracanã,2,0,0,86,1800.0,600.0,82.0,20.93,Residencial
55,Apartamento,Recreio dos Bandeirantes,2,1,1,74,1850.0,675.0,200.0,25.0,Residencial
56,Apartamento,Jacarepaguá,3,1,1,74,1900.0,556.0,98.0,25.68,Residencial
57,Apartamento,Ipanema,3,2,1,150,8000.0,2400.0,0.0,53.33,Residencial
58,Apartamento,Ipanema,3,1,1,140,7900.0,2900.0,500.0,56.43,Residencial
59,Casa,Méier,2,0,0,51,1500.0,50.0,0.0,29.41,Residencial
60,Apartamento,Jardim Botânico,2,2,0,95,4000.0,1170.0,0.0,42.11,Residencial
61,Apartamento,Barra da Tijuca,2,1,1,70,0.0,970.0,68.0,0.0,Residencial
62,Apartamento,Cachambi,2,0,0,60,1000.0,380.0,280.0,16.67,Residencial
63,Casa,São Conrado,4,2,4,730,28000.0,2000.0,12000.0,38.36,Residencial
64,Casa de Condomínio,Freguesia (Jacarepaguá),5,3,1,140,2500.0,1200.0,0.0,17.86,Residencial
65,Apartamento,Leblon,2,1,1,80,3500.0,990.0,245.0,43.75,Residencial
66,Apartamento,Barra da Tijuca,4,4,4,240,12700.0,4400.0,1440.0,52.92,Residencial
67,Apartamento,Barra da Tijuca,3,2,1,104,2600.0,1364.0,406.0,25.0,Residencial
68,Apartamento,Vila Valqueire,2,1,0,45,800.0,280.0,14.0,17.78,Residencial
69,Apartamento,Gávea,2,1,0,70,2800.0,680.0,98.0,40.0,Residencial
70,Apartamento,Barra da Tijuca,2,1,1,88,2700.0,1300.0,2042.0,30.68,Residencial
71,Apartamento,Centro,1,1,0,37,1100.0,540.0,900.0,29.73,Residencial
72,Apartamento,Cosme Velho,3,4,0,130,5500.0,1407.0,246.0,42.31,Residencial
73,Apartamento,Bonsucesso,2,1,0,77,1500.0,740.0,0.0,19.48,Residencial
74,Apartamento,Barra da Tijuca,3,2,2,85,2500.0,1400.0,190.0,29.41,Residencial
75,Apartamento,Todos os Santos,3,1,1,78,1450.0,630.0,73.0,18.59,Residencial
76,Apartamento,Laranjeiras,2,1,0,54,2300.0,582.0,0.0,42.59,Residencial
77,Quitinete,Centro,0,0,0,30,800.0,505.0,0.0,26.67,Residencial
78,Apartamento,Jacarepaguá,2,1,1,69,2000.0,780.0,0.0,28.99,Residencial
79,Apartamento,Ipanema,3,1,1,120,7000.0,1800.0,370.0,58.33,Residencial
80,Apartamento,Barra da Tijuca,2,1,1,78,2750.0,1300.0,138.0,35.26,Residencial
